Mask	Count	Complexity	Length
?d?d?d?d?d?d?d?d?d?d?d?l?l?l?l	102904	2.0	15.0
?u?l?l?l?l?l?l?l?l?l?d?d?d?d	102483	3.0	14.0
?l?l?s?l?l?l?l?l	102324	2.0	8.0
?u?l?d?d?d?d?d?d?d?d	102042	3.0	10.0
?d?d?d?d?d?d?d?d?d?l?l	101550	2.0	11.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?d	101536	2.0	16.0
?l?l?l?l?l?l?d?d?d?d?s	101397	3.0	11.0
?d?d?d?l?l?d?d?d	101211	2.0	8.0
?d?d?d?d?d?d?l?d	101022	2.0	8.0
?l?l?d?d?l?l?l?l?l?l	100285	2.0	10.0
?l?l?l?l?d?d?d?d?l?l	99506	2.0	10.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?d?d	98722	2.0	17.0
?l?l?d?d?d?d?d?d?d?d?d?d?d	98291	2.0	13.0
?l?l?l?l?l?l?d?d?d?l	97828	2.0	10.0
?l?d?d?d?l?d?d?d	97790	2.0	8.0
?l?l?l?l?l?l?s?s	97074	2.0	8.0
?u?l?l?l?l?s?d?d	96574	4.0	8.0
?l?l?l?l?l?l?d?d?d?d?d?d?d?d?d	95752	2.0	15.0
?d?l?l?l?l?d?l?l	94950	2.0	8.0
?u?l?l?l?l?l?l?l?l?l?l?l?d	94902	3.0	13.0
?d?d?d?d?l?d?d?d	94634	2.0	8.0
?d?d?d?l?d?d?d?d	94544	2.0	8.0
?l?l?l?d?d?d?d?s	93760	3.0	8.0
?d?d?d?l?l?l?d?d?d	93523	2.0	9.0
?d?l?d?l?l?l?l?l	92660	2.0	8.0
?d?d?d?d?d?d?d?u	92484	2.0	8.0
?d?d?l?d?d?l?d?d	92413	2.0	8.0
?d?d?l?l?l?d?d?d?d	92096	2.0	9.0
?d?l?l?d?l?l?l?l	91915	2.0	8.0
?d?l?l?l?l?l?d?l	91900	2.0	8.0
?d?l?d?d?d?d?d?d	91687	2.0	8.0
?l?l?l?d?d?l?l?l?d?d	91494	2.0	10.0
?d?d?d?d?d?d?d?d?d?d?d?l?l	91372	2.0	13.0
?d?d?s?d?d?s?d?d	90657	2.0	8.0
?u?l?l?l?l?l?l?l?l?l?d?d?d	90165	3.0	13.0
?d?d?d?d?d?d?d?d?d?d?l?l?l?l	90055	2.0	14.0
?l?l?l?l?l?l?l?s?d?d?d	89718	3.0	11.0
?l?l?l?l?l?s?l?l?l?l?l?l?l	89690	2.0	13.0
?l?d?l?l?l?l?d?d	89612	2.0	8.0
?l?s?l?l?l?l?l?l	89173	2.0	8.0
?d?d?l?l?l?l?l?l?l?l?l?l	88645	2.0	12.0
?l?l?l?l?l?d?d?d?l	88440	2.0	9.0
?d?d?d?d?d?d?d?l?l?l?l?l?l	87976	2.0	13.0
?l?l?l?l?l?d?d?d?d?d?d?d?d?d?d	87937	2.0	15.0
?d?d?l?l?d?d?l?l	86917	2.0	8.0
?l?l?l?l?d?l?d?d	86305	2.0	8.0
?u?l?l?l?l?l?l?l?l?l?l?l?l?l	86166	2.0	14.0
?l?l?l?l?l?l?l?l?l?s?d?d	85850	3.0	12.0
?u?u?u?u?u?u?u?u?d?d?d?d	85436	2.0	12.0
?l?d?d?l?l?l?l?l?l?l	85203	2.0	10.0
?l?l?d?d?d?d?d?d?l?l	84781	2.0	10.0
?l?l?l?l?l?l?s?l?l	84171	2.0	9.0
?d?d?l?l?l?l?l?d	84082	2.0	8.0
?d?d?d?d?l?l?l?l?l?l?l?l?l	83832	2.0	13.0
?d?l?l?l?l?d?l?l?l?l	83704	2.0	10.0
?l?l?l?d?d?d?l?l?l?l	83144	2.0	10.0
?d?d?d?l?l?l?d?d	83066	2.0	8.0
?u?l?l?l?l?l?l?s?d?d	82794	4.0	10.0
?u?l?l?l?l?l?s?d	82734	4.0	8.0
?d?d?d?d?u?l?l?l	82612	3.0	8.0
?u?l?l?l?d?d?d?d?s	81757	4.0	9.0
?d?d?d?d?d?d?u?l	81755	3.0	8.0
?l?l?l?l?d?d?d?d?d?d?d?d?d?d?d	81446	2.0	15.0
?l?l?l?l?l?l?d?l?l?l?l	81190	2.0	11.0
?l?l?l?d?l?l?d?d	81085	2.0	8.0
?d?d?l?d?d?l?d?d?l	80810	2.0	9.0
?d?d?l?d?d?d?d?d	80270	2.0	8.0
?u?l?l?l?l?d?d?d?d?s	80047	4.0	10.0
?d?s?d?d?d?d?d?u?s?d?d	79961	3.0	11.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l?d?d?d	79526	2.0	17.0
?l?l?l?l?d?l?l?l?l?d	79385	2.0	10.0
?l?l?d?l?l?l?d?d	79315	2.0	8.0
